C,D,E,F,G,H,I,J,K,L,M
0.992060456,0.477440917,,0.992060456,0.477440917,,0.992060456,0.477440917,,0.992060456,0.477440917
0,0.645626291,,0,0.645626291,,0,0.513707457,,0,0.513707457
-0.382398071,0,,-0.382398071,0,,-0.304263849,0,,-0.304263849,0
6.72269957,6.677419023,,6.72269957,6.677419023,,6.72269957,6.677419023,,6.72269957,6.677419023
0.605831479,0.312389592,,0.30291574,0.156194796,,0.605831479,0.312389592,,0.30291574,0.156194796
,,,,,,,,,,
7.938193435,8.112875822,,7.635277695,7.956681027,,8.016327656,7.980956989,,7.713411916,7.824762193
,,,,,,,,,,
4.8875,5.25,,4.8875,5.25,,4.8875,5.25,,4.8875,5.25
,,,,,,,,,,
12.82569343,13.36287582,,12.52277769,13.20668103,,12.90382766,13.23095699,,12.60091192,13.07476219
