B,C,D,E,F,G,H
16.84504509,31.64107513,37.02555847,35.98452377,24.90668488,,26.22173309
16.55182838,31.25821304,35.39760208,,25.29815865,,26.92277336
15.32046223,29.99644852,34.59319305,,24.36105156,,25.92597008
15.28307343,29.89948082,34.47052765,36.92790604,24.42337036,,25.76572037
14.26143,27.86349,,35.16488,26.4337,,21.81298
13.60299,27.71199,36.99699,,24.73588,,21.75621
13.73925,28.23993,,36.96888,25.76544,,22.05473
13.80719,27.83482,35.64021,38.99998,24.91203,36.90623,21.99161
,,,,,,
16.20815468,27.7205925,33.0452919,,24.40675163,35.89417648,25.95515633
16.33404541,27.61411667,32.86977005,35.65460587,24.76574898,,25.93787003
16.93375969,27.77173996,34.71365356,36.65171814,27.03200912,,26.621315
16.77913094,28.12137794,36.84860611,,24.91083527,,26.92316437
15.94116116,26.57217979,33.94078064,36.90209579,24.04951668,,25.92725563
15.9357481,32.22182465,35.09050369,,24.2548008,36.95716476,25.79020119
16.08247948,27.21244049,34.86216736,,24.31998444,,26.24705124
16.13402367,27.40734863,37.0676651,,24.58493233,,26.25416374
,,,,,,
14.92640864,29.30568094,35.68734688,36.80923396,25.10453943,36.90623,24.05646586
16.29356289,28.08020258,34.8048048,36.4028066,24.7905724,36.42567062,26.20702219
